market,mean,min,max,std,spread_max_min
DayAhead,66.38342592592592,-1.03,291.1,48.0845011401268,292.13
IDA1,67.97168981481481,-14.98,306.1,47.47182429496561,321.08000000000004
IDA2,72.08627314814815,-7.26,254.0,48.86638617967711,261.26
IDA3,72.24037037037037,-26.84,247.58,52.155132679609835,274.42
IntradayVWAP,76.13172453703703,-13.95,230.83,48.86589330071627,244.78
