market,date_cet,area,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,price,currency
DayAhead,2026-03-01,FR,2026-03-01T06:45:00Z,2026-03-01T07:00:00Z,2026-03-01T07:45:00+01:00,2026-03-01T08:00:00+01:00,23.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T07:00:00Z,2026-03-01T07:15:00Z,2026-03-01T08:00:00+01:00,2026-03-01T08:15:00+01:00,23.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T07:15:00Z,2026-03-01T07:30:00Z,2026-03-01T08:15:00+01:00,2026-03-01T08:30:00+01:00,22.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T07:30:00Z,2026-03-01T07:45:00Z,2026-03-01T08:30:00+01:00,2026-03-01T08:45:00+01:00,19.82,EUR
DayAhead,2026-03-01,FR,2026-03-01T07:45:00Z,2026-03-01T08:00:00Z,2026-03-01T08:45:00+01:00,2026-03-01T09:00:00+01:00,3.96,EUR
DayAhead,2026-03-01,FR,2026-03-01T08:00:00Z,2026-03-01T08:15:00Z,2026-03-01T09:00:00+01:00,2026-03-01T09:15:00+01:00,15.25,EUR
DayAhead,2026-03-01,FR,2026-03-01T08:15:00Z,2026-03-01T08:30:00Z,2026-03-01T09:15:00+01:00,2026-03-01T09:30:00+01:00,0.91,EUR
DayAhead,2026-03-01,FR,2026-03-01T08:30:00Z,2026-03-01T08:45:00Z,2026-03-01T09:30:00+01:00,2026-03-01T09:45:00+01:00,0.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T08:45:00Z,2026-03-01T09:00:00Z,2026-03-01T09:45:00+01:00,2026-03-01T10:00:00+01:00,0.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T09:00:00Z,2026-03-01T09:15:00Z,2026-03-01T10:00:00+01:00,2026-03-01T10:15:00+01:00,0.87,EUR
DayAhead,2026-03-01,FR,2026-03-01T09:15:00Z,2026-03-01T09:30:00Z,2026-03-01T10:15:00+01:00,2026-03-01T10:30:00+01:00,0.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T09:30:00Z,2026-03-01T09:45:00Z,2026-03-01T10:30:00+01:00,2026-03-01T10:45:00+01:00,-0.06,EUR
DayAhead,2026-03-01,FR,2026-03-01T09:45:00Z,2026-03-01T10:00:00Z,2026-03-01T10:45:00+01:00,2026-03-01T11:00:00+01:00,-0.81,EUR
DayAhead,2026-03-01,FR,2026-03-01T10:00:00Z,2026-03-01T10:15:00Z,2026-03-01T11:00:00+01:00,2026-03-01T11:15:00+01:00,0.01,EUR
DayAhead,2026-03-01,FR,2026-03-01T10:15:00Z,2026-03-01T10:30:00Z,2026-03-01T11:15:00+01:00,2026-03-01T11:30:00+01:00,0.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T10:30:00Z,2026-03-01T10:45:00Z,2026-03-01T11:30:00+01:00,2026-03-01T11:45:00+01:00,-0.01,EUR
DayAhead,2026-03-01,FR,2026-03-01T10:45:00Z,2026-03-01T11:00:00Z,2026-03-01T11:45:00+01:00,2026-03-01T12:00:00+01:00,-0.1,EUR
DayAhead,2026-03-01,FR,2026-03-01T11:00:00Z,2026-03-01T11:15:00Z,2026-03-01T12:00:00+01:00,2026-03-01T12:15:00+01:00,-0.1,EUR
DayAhead,2026-03-01,FR,2026-03-01T11:15:00Z,2026-03-01T11:30:00Z,2026-03-01T12:15:00+01:00,2026-03-01T12:30:00+01:00,-0.11,EUR
DayAhead,2026-03-01,FR,2026-03-01T11:30:00Z,2026-03-01T11:45:00Z,2026-03-01T12:30:00+01:00,2026-03-01T12:45:00+01:00,-0.25,EUR
DayAhead,2026-03-01,FR,2026-03-01T11:45:00Z,2026-03-01T12:00:00Z,2026-03-01T12:45:00+01:00,2026-03-01T13:00:00+01:00,-1.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T12:00:00Z,2026-03-01T12:15:00Z,2026-03-01T13:00:00+01:00,2026-03-01T13:15:00+01:00,-1.01,EUR
DayAhead,2026-03-01,FR,2026-03-01T12:15:00Z,2026-03-01T12:30:00Z,2026-03-01T13:15:00+01:00,2026-03-01T13:30:00+01:00,-1.03,EUR
DayAhead,2026-03-01,FR,2026-03-01T12:30:00Z,2026-03-01T12:45:00Z,2026-03-01T13:30:00+01:00,2026-03-01T13:45:00+01:00,-1.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T12:45:00Z,2026-03-01T13:00:00Z,2026-03-01T13:45:00+01:00,2026-03-01T14:00:00+01:00,-0.11,EUR
DayAhead,2026-03-01,FR,2026-03-01T13:00:00Z,2026-03-01T13:15:00Z,2026-03-01T14:00:00+01:00,2026-03-01T14:15:00+01:00,-1.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T13:15:00Z,2026-03-01T13:30:00Z,2026-03-01T14:15:00+01:00,2026-03-01T14:30:00+01:00,-0.06,EUR
DayAhead,2026-03-01,FR,2026-03-01T13:30:00Z,2026-03-01T13:45:00Z,2026-03-01T14:30:00+01:00,2026-03-01T14:45:00+01:00,0.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T13:45:00Z,2026-03-01T14:00:00Z,2026-03-01T14:45:00+01:00,2026-03-01T15:00:00+01:00,1.03,EUR
DayAhead,2026-03-01,FR,2026-03-01T14:00:00Z,2026-03-01T14:15:00Z,2026-03-01T15:00:00+01:00,2026-03-01T15:15:00+01:00,-0.06,EUR
DayAhead,2026-03-01,FR,2026-03-01T14:15:00Z,2026-03-01T14:30:00Z,2026-03-01T15:15:00+01:00,2026-03-01T15:30:00+01:00,-0.02,EUR
DayAhead,2026-03-01,FR,2026-03-01T14:30:00Z,2026-03-01T14:45:00Z,2026-03-01T15:30:00+01:00,2026-03-01T15:45:00+01:00,-0.01,EUR
DayAhead,2026-03-01,FR,2026-03-01T14:45:00Z,2026-03-01T15:00:00Z,2026-03-01T15:45:00+01:00,2026-03-01T16:00:00+01:00,0.09,EUR
DayAhead,2026-03-01,FR,2026-03-01T15:00:00Z,2026-03-01T15:15:00Z,2026-03-01T16:00:00+01:00,2026-03-01T16:15:00+01:00,-0.01,EUR
DayAhead,2026-03-01,FR,2026-03-01T15:15:00Z,2026-03-01T15:30:00Z,2026-03-01T16:15:00+01:00,2026-03-01T16:30:00+01:00,5.25,EUR
DayAhead,2026-03-01,FR,2026-03-01T15:30:00Z,2026-03-01T15:45:00Z,2026-03-01T16:30:00+01:00,2026-03-01T16:45:00+01:00,1.3,EUR
DayAhead,2026-03-01,FR,2026-03-01T15:45:00Z,2026-03-01T16:00:00Z,2026-03-01T16:45:00+01:00,2026-03-01T17:00:00+01:00,17.9,EUR
DayAhead,2026-03-01,FR,2026-03-01T16:00:00Z,2026-03-01T16:15:00Z,2026-03-01T17:00:00+01:00,2026-03-01T17:15:00+01:00,1.37,EUR
DayAhead,2026-03-01,FR,2026-03-01T16:15:00Z,2026-03-01T16:30:00Z,2026-03-01T17:15:00+01:00,2026-03-01T17:30:00+01:00,37.79,EUR
DayAhead,2026-03-01,FR,2026-03-01T16:30:00Z,2026-03-01T16:45:00Z,2026-03-01T17:30:00+01:00,2026-03-01T17:45:00+01:00,16.37,EUR
DayAhead,2026-03-01,FR,2026-03-01T16:45:00Z,2026-03-01T17:00:00Z,2026-03-01T17:45:00+01:00,2026-03-01T18:00:00+01:00,16.47,EUR
DayAhead,2026-03-01,FR,2026-03-01T17:00:00Z,2026-03-01T17:15:00Z,2026-03-01T18:00:00+01:00,2026-03-01T18:15:00+01:00,15.16,EUR
DayAhead,2026-03-01,FR,2026-03-01T17:15:00Z,2026-03-01T17:30:00Z,2026-03-01T18:15:00+01:00,2026-03-01T18:30:00+01:00,8.64,EUR
DayAhead,2026-03-01,FR,2026-03-01T17:30:00Z,2026-03-01T17:45:00Z,2026-03-01T18:30:00+01:00,2026-03-01T18:45:00+01:00,32.9,EUR
DayAhead,2026-03-01,FR,2026-03-01T17:45:00Z,2026-03-01T18:00:00Z,2026-03-01T18:45:00+01:00,2026-03-01T19:00:00+01:00,62.28,EUR
DayAhead,2026-03-01,FR,2026-03-01T18:00:00Z,2026-03-01T18:15:00Z,2026-03-01T19:00:00+01:00,2026-03-01T19:15:00+01:00,55.68,EUR
DayAhead,2026-03-01,FR,2026-03-01T18:15:00Z,2026-03-01T18:30:00Z,2026-03-01T19:15:00+01:00,2026-03-01T19:30:00+01:00,59.78,EUR
DayAhead,2026-03-01,FR,2026-03-01T18:30:00Z,2026-03-01T18:45:00Z,2026-03-01T19:30:00+01:00,2026-03-01T19:45:00+01:00,53.8,EUR
DayAhead,2026-03-01,FR,2026-03-01T18:45:00Z,2026-03-01T19:00:00Z,2026-03-01T19:45:00+01:00,2026-03-01T20:00:00+01:00,35.98,EUR
DayAhead,2026-03-01,FR,2026-03-01T19:00:00Z,2026-03-01T19:15:00Z,2026-03-01T20:00:00+01:00,2026-03-01T20:15:00+01:00,35.02,EUR
DayAhead,2026-03-01,FR,2026-03-01T19:15:00Z,2026-03-01T19:30:00Z,2026-03-01T20:15:00+01:00,2026-03-01T20:30:00+01:00,35.02,EUR
DayAhead,2026-03-01,FR,2026-03-01T19:30:00Z,2026-03-01T19:45:00Z,2026-03-01T20:30:00+01:00,2026-03-01T20:45:00+01:00,35.01,EUR
DayAhead,2026-03-01,FR,2026-03-01T19:45:00Z,2026-03-01T20:00:00Z,2026-03-01T20:45:00+01:00,2026-03-01T21:00:00+01:00,35.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T20:00:00Z,2026-03-01T20:15:00Z,2026-03-01T21:00:00+01:00,2026-03-01T21:15:00+01:00,35.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T20:15:00Z,2026-03-01T20:30:00Z,2026-03-01T21:15:00+01:00,2026-03-01T21:30:00+01:00,29.14,EUR
DayAhead,2026-03-01,FR,2026-03-01T20:30:00Z,2026-03-01T20:45:00Z,2026-03-01T21:30:00+01:00,2026-03-01T21:45:00+01:00,27.25,EUR
DayAhead,2026-03-01,FR,2026-03-01T20:45:00Z,2026-03-01T21:00:00Z,2026-03-01T21:45:00+01:00,2026-03-01T22:00:00+01:00,24.0,EUR
DayAhead,2026-03-01,FR,2026-03-01T21:00:00Z,2026-03-01T21:15:00Z,2026-03-01T22:00:00+01:00,2026-03-01T22:15:00+01:00,30.8,EUR
