market,mean,min,max,std,spread_max_min
DayAhead,106.36299107142857,-1.03,429.36,58.62642022643239,430.39
IDA1,105.05459821428572,-6.01,415.21,57.02844540431782,421.21999999999997
IDA2,100.12895833333334,-2.1,346.81,52.28250725847259,348.91
IDA3,103.83300595238094,-2.01,321.57,61.423410522300124,323.58
IntradayVWAP,98.83120535714286,-7.27,257.15,50.05661607323173,264.41999999999996
