market_pair,mean,min,max,area_name
DayAhead_to_IDA3,-1.1644444444444488,-28.678229166666668,17.502812500000005,GER
DayAhead_to_IDA1,-1.3594907407407415,-4.987500000000011,3.353020833333332,GER
DayAhead_to_IDA2,-5.544918981481482,-23.728020833333332,4.236354166666672,GER
DayAhead_to_IntradayVWAP,-6.359479166666668,-39.03447916666667,5.325520833333343,GER
