market,mean,min,max,std,spread_max_min
IntradayVWAP,84.46781250000001,-11.25,257.15,51.01447066812838,268.4
IDA3,83.66357142857143,-26.84,321.57,57.88938332184809,348.40999999999997
IDA1,82.16433779761904,-7.77,415.21,55.7678338808645,422.97999999999996
DayAhead,81.7323511904762,-1.03,429.36,57.420783936009954,430.39
IDA2,81.71189732142857,-7.26,346.81,52.44692856787604,354.07
