date_cet,dayahead_avg,intraday_avg,market_pair,profit_if_buy_DA_sell_intraday
2026-03-01,35.62489583333333,35.60875,DayAhead_to_IDA1,-0.01614583333333286
2026-03-02,61.08114583333333,60.55052083333334,DayAhead_to_IDA1,-0.5306249999999935
2026-03-03,82.92151041666666,88.19875,DayAhead_to_IDA1,5.2772395833333405
2026-03-04,111.22989583333333,111.00760416666667,DayAhead_to_IDA1,-0.22229166666666345
2026-03-05,97.05192708333334,92.81124999999999,DayAhead_to_IDA1,-4.2406770833333525
2026-03-06,98.11598958333333,99.40406250000001,DayAhead_to_IDA1,1.2880729166666782
2026-03-07,86.10109375,87.56942708333334,DayAhead_to_IDA1,1.4683333333333337
2026-03-01,35.62489583333333,33.82817708333334,DayAhead_to_IDA2,-1.7967187499999966
2026-03-02,61.08114583333333,60.38822916666667,DayAhead_to_IDA2,-0.6929166666666617
2026-03-03,82.92151041666666,89.27260416666667,DayAhead_to_IDA2,6.351093750000004
2026-03-04,111.22989583333333,106.63229166666667,DayAhead_to_IDA2,-4.597604166666656
2026-03-05,97.05192708333334,88.80911458333333,DayAhead_to_IDA2,-8.242812500000014
2026-03-06,98.11598958333333,101.84958333333333,DayAhead_to_IDA2,3.733593749999997
2026-03-07,86.10109375,91.20328124999999,DayAhead_to_IDA2,5.102187499999985
2026-03-01,35.62489583333333,40.85125,DayAhead_to_IDA3,5.226354166666667
2026-03-02,61.08114583333333,74.45854166666668,DayAhead_to_IDA3,13.377395833333345
2026-03-03,82.92151041666666,98.7396875,DayAhead_to_IDA3,15.818177083333339
2026-03-04,111.22989583333333,92.4634375,DayAhead_to_IDA3,-18.766458333333333
2026-03-05,97.05192708333334,83.29979166666666,DayAhead_to_IDA3,-13.752135416666675
2026-03-06,98.11598958333333,108.86041666666667,DayAhead_to_IDA3,10.744427083333335
2026-03-07,86.10109375,86.971875,DayAhead_to_IDA3,0.8707812499999932
2026-03-01,35.62489583333333,30.938802083333332,DayAhead_to_IntradayVWAP,-4.686093750000001
2026-03-02,61.08114583333333,61.35166666666667,DayAhead_to_IntradayVWAP,0.270520833333336
2026-03-03,82.92151041666666,99.01406250000001,DayAhead_to_IntradayVWAP,16.092552083333345
2026-03-04,111.22989583333333,92.26520833333332,DayAhead_to_IntradayVWAP,-18.96468750000001
2026-03-05,97.05192708333334,90.33020833333335,DayAhead_to_IntradayVWAP,-6.721718749999994
2026-03-06,98.11598958333333,116.16302083333333,DayAhead_to_IntradayVWAP,18.047031250000003
2026-03-07,86.10109375,101.21171875,DayAhead_to_IntradayVWAP,15.110624999999999
