area_name,market,date,price,rolling_7d_avg,rolling_7d_std,zscore_like,is_anomaly_gt_2std
FR,DayAhead,2026-03-07,62.03875,57.10171130952381,24.317221501104346,0.20302643088775507,False
FR,IDA1,2026-03-07,64.86604166666667,59.274077380952384,25.111999679481965,0.2226809635667233,False
FR,IDA2,2026-03-07,73.81927083333333,63.29483630952381,28.162307698315374,0.37370639638452213,False
FR,IDA3,2026-03-07,69.04458333333334,63.4941369047619,23.40110414105856,0.2371873735151181,False
FR,IntradayVWAP,2026-03-07,86.93447916666668,70.10441964285714,32.031722851120115,0.5254184922251539,False
GER,DayAhead,2026-03-07,110.1634375,106.36299107142858,29.0387553363194,0.13087497671837603,False
GER,IDA1,2026-03-07,110.2728125,105.05459821428572,27.706329483816777,0.18834015125541018,False
GER,IDA2,2026-03-07,108.58729166666666,100.12895833333333,24.145271647895484,0.35031013345714673,False
GER,IDA3,2026-03-07,104.89916666666666,103.83300595238096,21.425296945822783,0.04976177072278882,False
GER,IntradayVWAP,2026-03-07,115.48895833333334,98.83120535714286,26.01946760812575,0.6402034517796339,False
