market,yesterday,today,yesterday_avg,today_avg,change_abs,change_pct
DayAhead,2026-03-06,2026-03-07,98.11598958333333,86.10109375,-12.014895833333327,-12.245604293812535
IDA1,2026-03-06,2026-03-07,99.40406250000001,87.56942708333334,-11.834635416666671,-11.905585263848417
IDA2,2026-03-06,2026-03-07,101.84958333333333,91.20328124999999,-10.646302083333339,-10.45296577060126
IDA3,2026-03-06,2026-03-07,108.86041666666667,86.971875,-21.88854166666667,-20.106979503569175
IntradayVWAP,2026-03-06,2026-03-07,116.16302083333333,101.21171875,-14.951302083333331,-12.870965283164374
