date_cet,dayahead_avg,intraday_avg,area_name,market_pair,profit_if_buy_DA_sell_intraday
2026-03-01,18.315520833333334,18.075416666666666,FR,DayAhead_to_IDA1,-0.24010416666666856
2026-03-02,29.297291666666666,29.643333333333334,FR,DayAhead_to_IDA1,0.34604166666666814
2026-03-03,59.31854166666667,66.52,FR,DayAhead_to_IDA1,7.201458333333328
2026-03-04,75.06010416666668,79.60302083333333,FR,DayAhead_to_IDA1,4.542916666666656
2026-03-05,83.24875,79.12770833333333,FR,DayAhead_to_IDA1,-4.12104166666667
2026-03-06,72.43302083333333,77.08302083333334,FR,DayAhead_to_IDA1,4.650000000000006
2026-03-07,62.03875,64.86604166666667,FR,DayAhead_to_IDA1,2.8272916666666745
2026-03-08,77.07656250000001,75.47885416666666,FR,DayAhead_to_IDA1,-1.597708333333344
2026-03-09,120.66229166666666,121.34781249999999,FR,DayAhead_to_IDA1,0.685520833333328
2026-03-01,18.315520833333334,14.412395833333333,FR,DayAhead_to_IDA2,-3.903125000000001
2026-03-02,29.297291666666666,34.02645833333333,FR,DayAhead_to_IDA2,4.729166666666664
2026-03-03,59.31854166666667,67.784375,FR,DayAhead_to_IDA2,8.465833333333329
2026-03-04,75.06010416666668,89.59291666666667,FR,DayAhead_to_IDA2,14.532812499999991
2026-03-05,83.24875,79.315625,FR,DayAhead_to_IDA2,-3.933125000000004
2026-03-06,72.43302083333333,84.1128125,FR,DayAhead_to_IDA2,11.679791666666674
2026-03-07,62.03875,73.81927083333333,FR,DayAhead_to_IDA2,11.780520833333334
2026-03-08,77.07656250000001,79.90010416666667,FR,DayAhead_to_IDA2,2.8235416666666566
2026-03-09,120.66229166666666,125.8125,FR,DayAhead_to_IDA2,5.150208333333339
2026-03-01,18.315520833333334,20.137708333333332,FR,DayAhead_to_IDA3,1.8221874999999983
2026-03-02,29.297291666666666,53.01958333333334,FR,DayAhead_to_IDA3,23.72229166666667
2026-03-03,59.31854166666667,73.45208333333333,FR,DayAhead_to_IDA3,14.133541666666666
2026-03-04,75.06010416666668,66.20541666666666,FR,DayAhead_to_IDA3,-8.854687500000011
